,gene_id,gene_ontology
2,STM0503,integral component of plasma membrane
3,STM0503,cellular iron ion homeostasis
4,STM2280,transmembrane transport
5,STM2280,integral component of plasma membrane
6,STM2280,transmembrane transporter activity
7,STM4228,maltose transport complex
8,STM4228,maltodextrin transport
9,STM4228,ATPase-coupled maltose transmembrane transporter activity
10,STM3712,cytosol
11,STM3712,ADP-heptose-lipopolysaccharide heptosyltransferase activity
12,STM3712,lipopolysaccharide core region biosynthetic process
13,STM0194,integral component of plasma membrane
14,STM0194,transmembrane transporter activity
15,STM0194,siderophore-dependent iron import into cell
16,STM4403,outer membrane-bounded periplasmic space
17,STM4403,nucleotide catabolic process
18,STM2100,"transferase activity, transferring glycosyl groups"
19,STM2090,pyridoxal phosphate binding
20,STM2090,transaminase activity
21,STM2090,polysaccharide biosynthetic process
22,STM0364,siderophore uptake transmembrane transporter activity
23,STM0364,cell outer membrane
24,STM2785,transcription regulatory region sequence-specific DNA binding
25,STM2785,cytosol
26,STM2785,phosphorelay response regulator activity
27,STM2785,protein-DNA complex
28,STM2785,DNA-binding transcription activator activity
29,STM0640,cell wall organization
30,STM0640,"peptidoglycan L,D-transpeptidase activity"
31,STM0640,penicillin binding
32,STM0640,integral component of plasma membrane
33,STM0202,porphyrin-containing compound biosynthetic process
34,STM0728,base-excision repair
35,STM0728,DNA-(apurinic or apyrimidinic site) endonuclease activity
36,STM0728,oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity
40,STM0146,N-acetylmuramoyl-L-alanine amidase activity
41,STM0146,peptidoglycan catabolic process
42,STM0146,peptidoglycan turnover
49,STM2108,GDP-L-fucose synthase activity
50,STM2965,single-species biofilm formation
51,STM2936,proteolysis
52,STM2750,phosphoenolpyruvate-dependent sugar phosphotransferase system
53,STM2667,cytoplasm
54,STM2667,prephenate dehydratase activity
55,STM2667,L-phenylalanine biosynthetic process
56,STM2661,copper ion binding
57,STM2368,pseudouridine synthase activity
58,STM2368,tRNA pseudouridine synthesis
61,STM2933,adenylylsulfate kinase activity
62,STM3017,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
63,STM3017,oxidation-reduction process
64,STM1807,protein disulfide oxidoreductase activity
65,STM1807,protein folding
66,STM2317,ubiquinone binding
67,STM2317,NADH dehydrogenase activity
68,STM2317,respiratory chain complex I
69,STM2317,electron transport coupled proton transport
70,STM2317,aerobic respiration
71,STM2317,plasma membrane respiratory chain complex I
72,STM2310,isochorismate synthase activity
73,STM2310,menaquinone biosynthetic process
77,STM2257,plasma membrane
78,STM1893,plasma membrane
79,STM1893,response to zinc ion
80,STM0170,magnesium ion binding
81,STM0170,IMP salvage
82,STM0170,hypoxanthine metabolic process
83,STM0170,guanine salvage
84,STM0170,GMP salvage
85,STM0170,adenine salvage
86,STM0170,hypoxanthine phosphoribosyltransferase activity
87,STM3765,integral component of membrane
88,STM3765,plasma membrane
89,STM4564,cytosol
90,STM4376,ligase activity
91,STM3694,L-lactate dehydrogenase activity
92,STM3694,plasma membrane
93,STM3694,lactate oxidation
94,STM2437,cytosol
95,STM2435,pyridoxal 5'-phosphate salvage
96,STM2435,cytosol
97,STM2435,hydroxymethylpyrimidine kinase activity
98,STM2435,pyridoxal kinase activity
99,STM3432,cytosolic large ribosomal subunit
100,STM3136,fructuronate reductase activity
101,STM3136,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
102,STM3136,D-glucuronate catabolic process
103,STM0430,"negative regulation of transcription, DNA-templated"
107,STM0721,"transferase activity, transferring glycosyl groups"
108,STM3437,cytosolic large ribosomal subunit
109,STM3437,cytoplasmic translation
110,STM3437,structural constituent of ribosome
111,STM3437,RNA binding
112,STM3440,cytosolic large ribosomal subunit
113,STM3440,structural constituent of ribosome
114,STM3086,putrescine biosynthetic process from arginine
115,STM3086,arginine decarboxylase activity
116,STM4437,cytosol
117,STM1707,'de novo' pyrimidine nucleobase biosynthetic process
118,STM1707,orotidine-5'-phosphate decarboxylase activity
119,STM1707,cytosol
120,STM0978,chorismate biosynthetic process
121,STM0978,3-phosphoshikimate 1-carboxyvinyltransferase activity
122,STM3210,"DNA replication, synthesis of RNA primer"
123,STM3210,cytoplasm
124,STM3210,DNA primase activity
125,STM3501,phosphorelay sensor kinase activity
126,STM3501,integral component of plasma membrane
127,STM3733,cytoplasm
128,STM3733,pyrimidine ribonucleoside biosynthetic process
129,STM3733,pyrimidine nucleotide biosynthetic process
130,STM3733,orotate phosphoribosyltransferase activity
131,STM3733,'de novo' pyrimidine nucleobase biosynthetic process
132,STM3817,heme transport
133,STM1163,'de novo' pyrimidine nucleobase biosynthetic process
134,STM1163,pyrimidine nucleotide biosynthetic process
135,STM1163,dihydroorotase activity
136,STM1163,cytosol
137,STM1163,cytoplasm
141,STM0494,outer membrane-bounded periplasmic space
142,STM0494,5'-nucleotidase activity
143,STM0494,UDP-sugar diphosphatase activity
144,STM0494,nucleotide catabolic process
145,STM3469,tetrahydrofolate biosynthetic process
146,STM3469,4-amino-4-deoxychorismate synthase activity
147,STM3469,tryptophan biosynthetic process
148,STM1802,cytosol
149,STM1802,alanine racemase activity
150,STM1802,pyridoxal phosphate binding
151,STM1802,D-alanine biosynthetic process
152,STM0101,cytosol
153,STM0101,pentose catabolic process
154,STM0101,aldehyde-lyase activity
155,STM0102,cytosol
156,STM0102,L-arabinose catabolic process to xylulose 5-phosphate
157,STM0102,L-arabinose isomerase activity
158,STM4153,DNA-directed 5'-3' RNA polymerase activity
159,STM1920,chemotaxis
160,STM1920,cytosol
161,STM1430,DNA-binding transcription factor activity
162,STM1430,"regulation of transcription, DNA-templated"
163,STM1430,transcription regulatory region sequence-specific DNA binding
164,STM1440,copper ion binding
165,STM1440,removal of superoxide radicals
166,STM1440,periplasmic space
167,STM1440,superoxide dismutase activity
168,STM2818,metal ion binding
169,STM2818,glutathione biosynthetic process
170,STM2818,glutamate-cysteine ligase activity
171,STM2818,cytosol
172,STM1727,tryptophan synthase activity
173,STM1727,tryptophan biosynthetic process
174,STM1727,cytosol
175,STM1725,phosphoribosylanthranilate isomerase activity
176,STM1725,tryptophan biosynthetic process
177,STM1725,indole-3-glycerol-phosphate synthase activity
181,STM2277,ATP binding
182,STM2277,ribonucleoside-diphosphate reductase complex
183,STM2277,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
184,STM2277,deoxyribonucleotide biosynthetic process
185,STM1203,glucose transmembrane transport
186,STM1203,protein-phosphocysteine-sugar phosphotransferase activity
187,STM1203,protein-phosphocysteine-glucose phosphotransferase system transporter activity
188,STM1203,integral component of plasma membrane
189,STM1203,phosphoenolpyruvate-dependent sugar phosphotransferase system
190,STM3929,"transferase activity, transferring hexosyl groups"
191,STM1574,membrane
195,STM3740,guanylate kinase activity
196,STM3740,cytosol
202,STM2946,phosphoadenylyl-sulfate reductase (thioredoxin) activity
203,STM2946,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
204,STM2947,sulfate assimilation
205,STM2947,sulfite reductase (ferredoxin) activity
206,STM2947,sulfite reductase complex (NADPH)
207,STM2947,sulfite reductase activity
208,STM3926,plasma membrane
209,STM4106,cellular response to hydrogen peroxide
210,STM4106,heme binding
211,STM4106,cytosol
212,STM4106,catalase activity
213,STM4106,hydrogen peroxide catabolic process
214,STM4187,DNA-binding transcription factor activity
215,STM4187,DNA binding
216,STM4187,"negative regulation of transcription, DNA-templated"
217,STM2810,carnitine transmembrane transport
218,STM2810,integral component of plasma membrane
219,STM2810,choline transport
220,STM2810,ATP-binding cassette (ABC) transporter complex
221,STM2810,amine transmembrane transporter activity
222,STM2810,glycine betaine transport
223,STM2810,carnitine transmembrane transporter activity
224,STM2322,plasma membrane respiratory chain complex I
225,STM2322,NADH dehydrogenase activity
226,STM2322,aerobic respiration
227,STM2322,integral component of plasma membrane
233,STM0425,tRNA 4-thiouridine biosynthesis
234,STM0425,tRNA binding
235,STM0425,thiazole biosynthetic process
236,STM0425,cytosol
237,STM0977,cytoplasm
238,STM0977,pyridoxal phosphate binding
239,STM0977,L-serine biosynthetic process
240,STM0977,O-phospho-L-serine:2-oxoglutarate aminotransferase activity
241,STM1923,bacterial-type flagellum-dependent swarming motility
242,STM1923,plasma membrane
243,STM1923,integral component of membrane
244,STM2146,hydroxymethylpyrimidine kinase activity
245,STM2146,thiamine biosynthetic process
246,STM2146,cytosol
247,STM2146,phosphomethylpyrimidine kinase activity
252,STM4185,[isocitrate dehydrogenase (NADP+)] kinase activity
253,STM4185,protein dephosphorylation
254,STM4185,phosphoprotein phosphatase activity
255,STM4185,ATP binding
256,STM4185,peptidyl-serine phosphorylation
257,STM4185,regulation of catalytic activity
258,STM4185,AMP binding
259,STM4184,isocitrate lyase activity
260,STM4230,ATPase-coupled maltose transmembrane transporter activity
261,STM4230,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
262,STM4230,maltose transport complex
263,STM3429,translation
264,STM3429,cytosolic large ribosomal subunit
265,STM2181,plasma membrane
266,STM3999,DNA-directed DNA polymerase activity
267,STM3999,DNA repair
268,STM3999,cytoplasm
269,STM3999,DNA-dependent DNA replication
270,STM3999,5'-3' exonuclease activity
271,STM3943,cytosol
272,STM3943,ferric iron binding
273,STM3943,ferrous iron binding
274,STM3011,DNA-binding transcription factor activity
275,STM3011,transcription regulatory region sequence-specific DNA binding
276,STM3011,"regulation of transcription, DNA-templated"
277,STM1981,plasma membrane
278,STM1909,arginine-tRNA ligase activity
279,STM1909,arginyl-tRNA aminoacylation
280,STM2517,cell outer membrane
281,STM2517,pathogenesis
282,STM0940,cellular response to DNA damage stimulus
283,STM0195,pilus organization
284,STM0195,cell adhesion involved in single-species biofilm formation
285,STM0195,pilus
286,STM2110,O-acyltransferase activity
287,STM1846,RNA strand-exchange activity
288,STM1846,cytosol
289,STM1846,RNA strand annealing activity
290,STM1846,posttranscriptional regulation of gene expression
295,STM4027,3'-tRNA processing endoribonuclease activity
296,STM4229,"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
297,STM4229,maltose transport
298,STM4229,maltodextrin transport
299,STM4229,maltose binding
300,STM3439,structural constituent of ribosome
301,STM3078,agmatinase activity
302,STM3078,"putrescine biosynthetic process from arginine, using agmatinase"
306,STM2370,'de novo' pyridoxal 5'-phosphate biosynthetic process
307,STM2370,cytosol
308,STM2370,pyridoxine biosynthetic process
309,STM2370,4-phosphoerythronate dehydrogenase activity
310,STM2522,histidyl-tRNA aminoacylation
311,STM2522,histidine-tRNA ligase activity
312,STM0388,cytosol
313,STM0388,shikimate metabolic process
314,STM0388,magnesium ion binding
315,STM0388,aromatic amino acid family biosynthetic process
316,STM0388,shikimate kinase activity
317,STM3487,cytosol
318,STM3487,shikimate kinase activity
319,STM3487,aromatic amino acid family biosynthetic process
320,STM3487,magnesium ion binding
321,STM3487,shikimate metabolic process
322,STM4122,arginine biosynthetic process
323,STM4122,acetylglutamate kinase activity
324,STM4122,arginine binding
325,STM2079,plasma membrane
326,STM2079,protein tyrosine kinase activity
327,STM2188,plasma membrane
328,STM2188,integral component of membrane
329,STM3144,zinc ion binding
330,STM3144,protein maturation
331,STM3144,nickel cation binding
332,STM2854,nickel cation binding
333,STM2854,protein maturation
334,STM2854,zinc ion binding
335,STM3584,DNA binding
336,STM3584,"regulation of transcription, DNA-templated"
339,STM4146,translation elongation factor activity
340,STM4146,translational elongation
341,STM3299,"DNA-templated transcription, elongation"
344,STM2193,tetrahydrobiopterin biosynthetic process
345,STM2193,cytoplasm
346,STM2193,zinc ion binding
347,STM2193,GTP binding
348,STM2193,GTP cyclohydrolase I activity
351,STM0076,flavin adenine dinucleotide binding
352,STM0076,electron transfer activity
353,STM0076,fatty acid beta-oxidation using acyl-CoA dehydrogenase
354,STM2952,phosphopyruvate hydratase activity
355,STM2952,glycolytic process
356,STM2952,"regulation of vacuole fusion, non-autophagic"
357,STM2952,phosphopyruvate hydratase complex
359,STM0217,translational elongation
360,STM0217,translation elongation factor activity
361,STM3731,dUTP diphosphatase activity
362,STM3731,magnesium ion binding
363,STM3731,dUMP biosynthetic process
364,STM3731,dUTP catabolic process
365,STM0218,UDP biosynthetic process
366,STM0218,UMP kinase activity
367,STM0218,cytosol
368,STM2487,cytosol
369,STM4366,IMP metabolic process
370,STM4366,adenylosuccinate synthase activity
371,STM4366,cytoplasm
372,STM4366,'de novo' AMP biosynthetic process
373,STM2222,pseudouridine synthase activity
374,STM2222,enzyme-directed rRNA pseudouridine synthesis
375,STM2222,cytosol
376,STM0321,cytosol
377,STM0321,proline biosynthetic process
378,STM0321,glutamate 5-kinase activity
381,STM4414,magnesium ion binding
382,STM4414,phosphate-containing compound metabolic process
383,STM4414,cytosol
384,STM4414,inorganic diphosphatase activity
385,STM3069,phosphoglycerate kinase activity
386,STM3069,ADP binding
387,STM3069,cytosol
388,STM3069,glycolytic process
389,STM3069,positive regulation of oxidative phosphorylation
390,STM3069,ATP binding
391,STM3069,gluconeogenesis
392,STM4062,6-phosphofructokinase activity
393,STM4062,identical protein binding
394,STM4062,"fructose 1,6-bisphosphate metabolic process"
395,STM4062,fructose 6-phosphate metabolic process
396,STM4062,AMP binding
397,STM4062,ATP binding
398,STM4062,fructose-6-phosphate binding
399,STM4062,6-phosphofructokinase complex
400,STM4062,canonical glycolysis
401,STM4062,monosaccharide binding
402,STM4350,3'-5'-exoribonuclease activity
408,STM2526,pyrimidine nucleotide metabolic process
409,STM2526,purine nucleotide metabolic process
410,STM2526,nucleoside diphosphate kinase activity
415,STM3307,peptidoglycan biosynthetic process
416,STM3307,UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity
419,STM1986,phosphatase activity
420,STM1986,magnesium ion binding
421,STM1986,cytosol
422,STM0806,cytosol
423,STM1076,methylglyoxal biosynthetic process
424,STM1076,methylglyoxal synthase activity
425,STM1076,cytosol
426,STM3435,structural constituent of ribosome
427,STM3435,cytosolic large ribosomal subunit
428,STM3435,large ribosomal subunit
429,STM3435,ribosome assembly
430,STM1582,arylamine N-acetyltransferase activity
445,STM3955,integral component of membrane
446,STM3955,plasma membrane
447,STM3922,"dTDP-glucose 4,6-dehydratase activity"
457,STM2207,lactose transport
458,STM2207,glucose transmembrane transport
459,STM2207,carbohydrate:proton symporter activity
460,STM2207,transmembrane transport
461,STM2207,cellular response to glucose-phosphate stress
462,STM2207,plasma membrane
463,STM2324,plasma membrane respiratory chain complex I
464,STM2324,cellular respiration
465,STM2324,NADH dehydrogenase activity
466,STM2450,outer membrane-bounded periplasmic space
467,STM2450,N-acetylmuramoyl-L-alanine amidase activity
468,STM2450,cytokinesis
469,STM2451,coproporphyrinogen oxidase activity
470,STM2451,protoporphyrinogen IX biosynthetic process
471,STM2451,cytoplasm
472,STM1415,"proton-transporting ATP synthase complex, catalytic core F(1)"
473,STM0484,DNA-dependent DNA replication
479,STM1723,tryptophan biosynthetic process
480,STM3726,"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"
481,STM3726,DNA-(apurinic or apyrimidinic site) endonuclease activity
482,STM3726,base-excision repair
483,STM3726,"base-excision repair, AP site formation"
484,STM3726,DNA N-glycosylase activity
485,STM3416,structural constituent of ribosome
486,STM3416,small ribosomal subunit
487,STM3416,positive regulation of translational fidelity
488,STM3416,rRNA binding
489,STM3417,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
490,STM3417,mRNA 5'-UTR binding
491,STM3417,cytosolic small ribosomal subunit
492,STM3417,ribosomal small subunit assembly
493,STM3417,small ribosomal subunit rRNA binding
494,STM3417,structural constituent of ribosome
495,STM3417,translation
500,STM0007,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
501,STM0007,intracellular anatomical structure
502,STM0007,cytosol
503,STM0447,chaperone-mediated protein folding
504,STM0447,peptidyl-prolyl cis-trans isomerase activity
505,STM0447,protein folding chaperone
506,STM0447,protein unfolding
507,STM0447,ribosome binding
508,STM0447,'de novo' cotranslational protein folding
509,STM3110,"8-oxo-7,8-dihydroguanine DNA N-glycosylase activity"
510,STM3110,purine-specific mismatch base pair DNA N-glycosylase activity
511,STM3110,base-excision repair
512,STM3110,mismatch repair
513,STM3110,oxidized purine DNA binding
514,STM3110,adenine/guanine mispair binding
515,STM2017,cobalamin biosynthetic process
516,STM2017,adenosylcobinamide-GDP ribazoletransferase activity
517,STM2018,cobalamin biosynthetic process
520,STM2020,ATP binding
521,STM2020,ATPase-coupled transmembrane transporter activity
522,STM2020,ATP-binding cassette (ABC) transporter complex
523,STM3303,cytosolic large ribosomal subunit
524,STM3303,structural constituent of ribosome
525,STM3421,structural constituent of ribosome
526,STM3421,cytosolic large ribosomal subunit
527,STM0417,"6,7-dimethyl-8-ribityllumazine synthase activity"
528,STM0417,cytosol
529,STM0417,intracellular anatomical structure
530,STM0417,riboflavin biosynthetic process
531,STM3195,cytosol
532,STM3195,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity"
533,STM3195,riboflavin biosynthetic process
537,STM4594,cytosol
538,STM4594,flavin adenine dinucleotide binding
539,STM4594,dihydrolipoyl dehydrogenase activity
540,STM4594,oxidation-reduction process
541,STM2927,exopolyphosphatase activity
542,STM2927,UMP catabolic process
543,STM2927,3'-nucleotidase activity
544,STM2927,5'-nucleotidase activity
545,STM0738,tricarboxylic acid cycle
546,STM0738,succinyl-CoA metabolic process
547,STM0738,cytosol
548,STM0738,succinate-CoA ligase complex
549,STM0738,succinate-CoA ligase (ADP-forming) activity
555,STM3090,cytosol
556,STM3090,S-adenosylmethionine biosynthetic process
557,STM3090,methionine adenosyltransferase activity
558,STM0219,cytoplasmic translational termination
559,STM0219,ribosomal large subunit binding
560,STM0219,translation
561,STM0219,cytoplasm
562,STM3063,cytosol
563,STM3063,ribose-5-phosphate isomerase activity
564,STM3063,D-ribose metabolic process
565,STM3063,"pentose-phosphate shunt, non-oxidative branch"
566,STM3840,ribonuclease P activity
567,STM3840,"tRNA 3'-trailer cleavage, endonucleolytic"
568,STM3840,3'-tRNA processing endoribonuclease activity
569,STM3840,ribonuclease P complex
570,STM1434,DNA replication proofreading
571,STM1434,cytosol
572,STM1434,"DNA polymerase III, core complex"
573,STM1434,tRNA 3'-end processing
574,STM1434,3'-5' exonuclease activity
575,STM3344,structural constituent of ribosome
576,STM3344,RNA binding
577,STM3344,cytosolic small ribosomal subunit
578,STM3344,small ribosomal subunit
579,STM4391,cytosolic small ribosomal subunit
580,STM4391,small ribosomal subunit rRNA binding
581,STM4391,structural constituent of ribosome
582,STM0216,cytosolic small ribosomal subunit
583,STM0216,structural constituent of ribosome
584,STM3436,ribosomal small subunit assembly
585,STM3436,cytosolic small ribosomal subunit
586,STM3436,structural constituent of ribosome
587,STM3431,cytosolic small ribosomal subunit
588,STM3431,structural constituent of ribosome
589,STM3283,cytosolic small ribosomal subunit
590,STM3425,cytoplasmic translation
591,STM3425,cytosolic large ribosomal subunit
592,STM3425,structural constituent of ribosome
600,STM3577,integral component of plasma membrane
601,STM3577,transmembrane signaling receptor activity
602,STM3577,chemotaxis
603,STM0115,"regulation of transcription, DNA-templated"
604,STM2881,acyl carrier activity
605,STM2881,lipid A biosynthetic process
606,STM2881,acyl binding
607,STM2881,cytosol
608,STM0984,ATPase-coupled lipid transmembrane transporter activity
609,STM0984,ATPase-coupled transmembrane transporter activity
610,STM0984,transmembrane transport
611,STM1342,ATPase-coupled transmembrane transporter activity
612,STM1342,ATP-binding cassette (ABC) transporter complex
617,STM1112,unfolded protein binding
618,STM1112,cytoplasm
619,STM1112,protein refolding
620,STM1112,chaperone cofactor-dependent protein refolding
621,STM0067,cytoplasm
